ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000320497
  Energy(MeV/n)              u              v              w              x              y              z
   3.062655e+01   1.126481e-01   9.856258e-01  -1.259055e-01   7.560453e+01  -1.065196e+02   2.802308e+01
   3.493258e+02  -7.303686e-01   1.263723e-01  -6.712613e-01   8.769607e+01   6.742449e+01   6.624862e+01
   4.429673e+02  -4.280373e-01  -3.880357e-01  -8.162183e-01  -3.218914e+01   6.748799e+01   1.073125e+02
   2.849699e+02   1.318788e-01   2.840401e-01  -9.496995e-01   5.540835e+01  -3.079351e+01   1.037808e+02
   6.108262e+01  -3.513903e-01   1.593041e-02  -9.360935e-01  -1.913080e+01   2.414564e+01   1.144192e+02
   1.433556e+02   7.703593e-02  -2.687528e-02  -9.966660e-01  -2.622283e+01  -1.168837e+01   9.862283e+01
   2.476041e+02  -8.577460e-01  -3.050400e-01  -4.137902e-01   1.215573e+02  -1.138287e+01  -1.916614e+00
   6.445951e+01  -2.290110e-01   5.511475e-01  -8.023655e-01  -4.315831e+01  -1.241475e+02   5.167241e+01
   3.924114e+01   6.595492e-01   3.448702e-02  -7.508698e-01  -7.044070e+01  -3.256562e+00   7.115558e+01
   9.634823e+01   6.190427e-02   6.014126e-01  -7.965367e-01   6.522633e+01  -1.038290e+02   5.221820e+01
   8.227111e+01  -4.711091e-01   6.555225e-02  -8.796358e-01   6.244136e+01  -9.388798e+01   7.324479e+01
   5.985178e+03  -2.674765e-01  -5.468667e-02  -9.620113e-01  -1.079569e+01   6.885072e+01   1.030366e+02
   1.214198e+02  -5.392847e-01  -8.405328e-01   5.173530e-02   5.380842e+01   8.081145e+01  -5.909436e+01
   1.683871e+02  -1.385256e-01   1.078316e-01  -9.844709e-01   6.898666e+01  -1.961107e+01   8.972219e+01
   3.137455e+02  -6.678861e-01  -1.227177e-01  -7.340766e-01   6.099343e+01   5.684923e+01   7.122816e+01
   1.225305e+02  -4.654798e-03  -5.326216e-01  -8.463407e-01   8.054913e+00  -1.809545e+01   1.294993e+02
   2.922189e+01   8.735619e-01   4.053164e-01  -2.694591e-01  -1.176211e+02   2.682579e+01   3.014790e+01
   4.960399e+01   9.218424e-01  -1.768283e-01  -3.448744e-01  -1.042455e+02   3.715108e+01  -7.734112e+00
   2.382210e+01  -2.772611e-01  -2.405770e-01  -9.301876e-01  -3.786437e+01   4.396244e+01   1.074213e+02
   1.734530e+02  -4.443902e-01  -2.826398e-02  -8.953874e-01   4.204224e+00  -5.942013e+00   1.097845e+02
   1.777699e+02   8.435900e-01  -1.557427e-01  -5.139067e-01  -6.997388e+01  -4.940746e+01   9.469730e+01
   1.501064e+02   9.804049e-02   4.469009e-01  -8.891950e-01   6.812205e+00  -8.952893e+00   1.087127e+02
   1.155434e+02   2.808139e-01  -8.327542e-01   4.771414e-01  -3.398491e+01   4.251793e+01  -1.153737e+02
   1.247122e+03   1.688333e-01  -1.016899e-01  -9.803849e-01   5.367013e+01  -5.284321e+01   1.167245e+02
   1.169966e+02   5.398516e-02   4.528058e-02  -9.975145e-01   1.038220e+01  -3.365833e+01   9.928318e+01
   2.918712e+01   1.445131e-01   5.088001e-01   8.486686e-01  -6.462002e+01  -1.126332e+02  -3.930130e+01
   3.054903e+03  -5.612113e-02   4.662735e-01  -8.828587e-01   7.929597e+01  -8.164547e+01   6.510748e+01
   1.736288e+03  -6.561003e-02  -2.709791e-01  -9.603466e-01   2.135106e+01  -3.710067e+01   1.131390e+02
   6.928329e+02   2.519213e-01  -7.733695e-02  -9.646526e-01  -7.194464e+00   3.721317e+01   9.880200e+01
   2.282903e+02   4.392145e-01   4.169682e-01  -7.957563e-01   2.241184e+00  -6.943852e+01   9.051855e+01
   5.405054e+02   2.674181e-01  -3.115634e-02  -9.630768e-01   9.067486e+00   8.942631e+01   1.034586e+02
   6.328388e+02   6.313292e-01  -6.768817e-01  -3.784900e-01  -1.034853e+02   4.184491e+01   1.675782e+01
   3.310629e+02   2.131932e-01  -6.740291e-02  -9.746822e-01   6.087899e+01   1.996347e+01   1.145331e+02
   8.067232e+01   8.832280e-02  -2.312817e-01  -9.688694e-01  -4.018155e+01   1.192457e+01   9.670356e+01
   1.962071e+03  -4.513070e-01  -5.039814e-01  -7.364270e-01   2.027944e+00   8.800241e+01   7.432263e+01
   8.462129e+02  -5.979478e-01  -7.950269e-01  -1.019352e-01   4.856617e+01   9.288553e+01  -2.831719e+01
   2.786090e+03   3.785222e-02   2.995105e-01  -9.533418e-01  -7.930038e+00  -1.630955e+01   9.945535e+01
   6.646704e+02   9.505659e-02   1.279527e-01  -9.872144e-01  -3.562862e+01  -2.767457e+01   9.427762e+01
